"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C5,C6,C7,C8,C9,C10,C11","8","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10uF/25V","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3,C4","2","10uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1,D3,D4","3","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D2","1","SS24","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88748/ss22.pdf"
"J1","1","Screw_Terminal_01x04","","","","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
"J2","1","Conn_01x04_Pin","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J3","1","Conn_01x03_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"K1","1","RAYEX-L90AS","","","","Relay_THT:Relay_SPST_RAYEX-L90AS","https://a3.sofastcdn.com/attachment/7jioKBjnRiiSrjrjknRiwS77gwbf3zmp/L90-SERIES.pdf"
"PS1","1","HLK-5M05","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-5Mxx","http://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%975W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%915W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"Q1,Q2","2","MMBT2222A","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf"
"R1,R2,R3,R4,R9,R10","6","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","2K2","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7","2","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","0R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","330R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R16,R17","3","0R","","","","Resistor_SMD:R_0603_1608Metric","~"
"SW1,SW2,SW3,SW4,SW5","5","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"SW6","1","SW_Push","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U3","1","ESP32-WROOM-32D","","","","RF_Module:ESP32-WROOM-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
